x	f(x)	P1(x)	P2(x)	P3(x)	P4(x)	P5(x)	Q1(x)	Q2(x)	Q3(x)	Q4(x)	Q5(x)
-0.72	-0.388495	-0.388549	-0.388293	-0.333344	-0.33324	-0.333771	-0.388549	-0.388293	-0.333344	-0.333721	-0.342164	
-0.72	-0.315095	-0.388549	-0.388293	-0.333344	-0.33324	-0.333771	-0.388549	-0.388293	-0.333344	-0.333721	-0.342164	
-0.7	-0.319027	-0.377792	-0.377578	-0.307931	-0.307835	-0.308553	-0.377792	-0.377578	-0.307931	-0.308323	-0.316124	
-0.7	-0.314257	-0.377792	-0.377578	-0.307931	-0.307835	-0.308553	-0.377792	-0.377578	-0.307931	-0.308323	-0.316124	
-0.7	-0.288557	-0.377792	-0.377578	-0.307931	-0.307835	-0.308553	-0.377792	-0.377578	-0.307931	-0.308323	-0.316124	
-0.68	-0.258224	-0.367036	-0.366861	-0.283888	-0.283801	-0.284691	-0.367036	-0.366861	-0.283888	-0.284289	-0.291308	
-0.68	-0.272074	-0.367036	-0.366861	-0.283888	-0.283801	-0.284691	-0.367036	-0.366861	-0.283888	-0.284289	-0.291308	
-0.68	-0.285284	-0.367036	-0.366861	-0.283888	-0.283801	-0.284691	-0.367036	-0.366861	-0.283888	-0.284289	-0.291308	
-0.66	-0.240634	-0.35628	-0.356143	-0.261175	-0.261097	-0.262146	-0.35628	-0.356143	-0.261175	-0.261579	-0.267707	
-0.66	-0.290454	-0.35628	-0.356143	-0.261175	-0.261097	-0.262146	-0.35628	-0.356143	-0.261175	-0.261579	-0.267707	
-0.66	-0.289504	-0.35628	-0.356143	-0.261175	-0.261097	-0.262146	-0.35628	-0.356143	-0.261175	-0.261579	-0.267707	
-0.64	-0.294241	-0.345523	-0.345424	-0.239755	-0.239686	-0.240879	-0.345523	-0.345424	-0.239755	-0.240155	-0.245308	
-0.64	-0.266021	-0.345523	-0.345424	-0.239755	-0.239686	-0.240879	-0.345523	-0.345424	-0.239755	-0.240155	-0.245308	
-0.64	-0.207381	-0.345523	-0.345424	-0.239755	-0.239686	-0.240879	-0.345523	-0.345424	-0.239755	-0.240155	-0.245308	
-0.62	-0.17594	-0.334767	-0.334704	-0.219586	-0.219527	-0.22085	-0.334767	-0.334704	-0.219586	-0.219979	-0.224097	
-0.62	-0.19806	-0.334767	-0.334704	-0.219586	-0.219527	-0.22085	-0.334767	-0.334704	-0.219586	-0.219979	-0.224097	
